id,name,abbreviation,displayName,location,color,alternateColor
1,Seawolves,UAA,Alaska Anchorage Seawolves,Alaska Anchorage,000000,
2,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3
3,Panthers,BSC,Birmingham-Southern Panthers,Birmingham-Southern,000000,
4,Bulldogs,ALT,DeSales Bulldogs,DeSales,,
5,Blazers,UAB,UAB Blazers,UAB,054338,ffc845
6,Jaguars,SALA,South Alabama Jaguars,South Alabama,003E7E,
7,Mammoths,AMH,Amherst College Mammoths,Amherst College,000000,
8,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000
9,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3
11,Mavericks,MESA,Mesa College Mavericks,Mesa College,000000,
12,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b
13,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,eed897
14,Wildcats,CSU,Chico State Wildcats,Chico State,,
16,Hornets,SAC,Sacramento State Hornets,Sacramento State,00573C,cdb97d
17,Stags,CMS,Claremont Coll Stags,Claremont Coll,000000,
18,Bears,BWMA,Bridgewater State Bears,Bridgewater State,000000,
20,Knights,CAL,Calvin College Knights,Calvin College,,
21,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e
22,Gators,SFSU,San Francisco State Gators,San Francisco State,,
23,Spartans,SJSU,San José St Spartans,San José St,005893,fdba31
24,Cardinal,STAN,Stanford Cardinal,Stanford,A80532,ffffff
25,Golden Bears,CAL,California Golden Bears,California,031522,ffc423
26,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c
27,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,
28,Tritons,UCSD,UC San Diego Tritons,UC San Diego,000000,
29,Bulldogs,RED,Redlands Bulldogs,Redlands,000000,
30,Trojans,USC,USC Trojans,USC,AE2531,ffc72c
32,Pioneers,CAR,Carroll (WI) Pioneers,Carroll (WI),000000,
33,Colby,COLBY,Colby Colby,Colby,000000,
35,Chargers,COLBY,Colby-Sawyer College Chargers,Colby-Sawyer College,,
36,Rams,CSU,Colorado State Rams,Colorado State,004537,ffc425
37,Clippers,CCD,Concordia College (NY) Clippers,Concordia College (NY),000000,
38,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200
39,Camels,CON,Connecticut College Camels,Connecticut College,,
40,Curry,CURRY,Curry College Curry,Curry College,000000,
41,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3
42,Hawks,HART,Hartford Hawks,Hartford,d60008,000000
43,Bulldogs,YALE,Yale Bulldogs,Yale,004a81,286dc0
44,Eagles,AMER,American Eagles,American,c41130,c8102e
45,Colonials,GW,George Washington Colonials,George Washington,002843,e8d2a1
46,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58
47,Bison,HOW,Howard Bison,Howard,9e0b0e,6b818d
48,Blue Hens,DEL,Delaware Blue Hens,Delaware,033594,e8ce31
49,Spartans,DUB,Dubuque Spartans,Dubuque,000000,
50,Rattlers,FAMU,Florida A&M Rattlers,Florida A&M,F89728,00843d
51,Moccasins,FSO,Florida Southern Moccasins,Florida Southern,,
52,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888
53,Panthers,FIT,Florida Tech Panthers,Florida Tech,000000,
55,Gamecocks,JVST,Jacksonville State Gamecocks,Jacksonville State,b50500,b5b7ba
56,Hatters,STET,Stetson Hatters,Stetson,18581c,d49d5d
57,Gators,FLA,Florida Gators,Florida,0021A5,0021a5
58,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20
59,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56
60,Tigers,MOR,Morehouse College Tigers,Morehouse College,000000,
61,Bulldogs,UGA,Georgia Bulldogs,Georgia,CC0000,000000
62,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Hawai'i,003420,ffffff
63,Beavers,BAQ,Buena Vista Beavers,Buena Vista,000000,
65,Pioneers,GRI,Grinnell Pioneers,Grinnell,000000,
66,Cyclones,ISU,Iowa State Cyclones,Iowa State,660015,830b2c
67,Norse,LUT,Luther Norse,Luther,000000,
68,Broncos,BSU,Boise State Broncos,Boise State,09347A,d8d9da
70,Vandals,IDHO,Idaho Vandals,Idaho,000000,8c6e4a
71,Braves,BRAD,Bradley Braves,Bradley,b70002,c0c0c0
72,Blue Jays,ELM,Elmhurst Blue Jays,Elmhurst,000000,
73,Scarlet Hawks,IIT,Illinois Tech Scarlet Hawks,Illinois Tech,,
74,Big Blue,MLK,Millikin Big Blue,Millikin,000000,
75,Vikings,NP,North Park Vikings,North Park,000000,
77,Wildcats,NW,Northwestern Wildcats,Northwestern,372286,d6cac1
79,Salukis,SIU,Southern Illinois Salukis,Southern Illinois,85283D,c2c3c0
80,Maroons,CHI,Chicago Maroons,Chicago,000000,
81,Pride,SPR,Springfield Pride,Springfield,000000,
82,Flames,UIC,UIC Flames,UIC,234077,c30031
83,Tigers,DPW,DePauw Tigers,DePauw,000000,
84,Hoosiers,IND,Indiana Hoosiers,Indiana,7D110C,eeedeb
85,Jaguars,IUPU,IUPUI Jaguars,IUPUI,A81F30,d59f0f
86,,RHIT,Rose-Hulman,Rose-Hulman,000000,
87,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,00122b,ae9142
88,Screaming Eagles,USI,Southern Indiana Screaming Eagles,Southern Indiana,,
89,Little Giants,WBSH,Wabash College Little Giants,Wabash College,000000,
90,Gorillas,PITT,Pittsburg State Gorillas,Pittsburg State,000000,
91,Knights,BELL,Bellarmine Knights,Bellarmine,000000,
92,Cavaliers,CAB,Cabrini Cavaliers,Cabrini,,
93,Racers,MURR,Murray State Racers,Murray State,002148,000e00
94,Norse,NKU,Northern Kentucky Norse,Northern Kentucky,000000,eab621
95,Bears,PIKE,Pikeville Bears,Pikeville,000000,
96,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff
97,Cardinals,LOU,Louisville Cardinals,Louisville,ad000a,cccccc
98,Hilltoppers,WKU,Western Kentucky Hilltoppers,Western Kentucky,F32026,b3b5b8
99,Tigers,LSU,LSU Tigers,LSU,2B0D57,fdd023
100,Wolfpack,L-LA,Loyola New Orleans Wolfpack,Loyola New Orleans,000000,
101,Red Devils,EUR,Eureka College Red Devils,Eureka College,000000,
102,Beavers,BAB,Babson Beavers,Babson,,
103,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161
104,Terriers,BU,Boston University Terriers,Boston University,cc0000,ffffff
105,Judges,BRA,Brandeis University Judges,Brandeis University,,
106,,CMA,Clark Mass,Clark Mass,000000,
107,Crusaders,HC,Holy Cross Crusaders,Holy Cross,0a0a0a,080808
108,Crimson,HARV,Harvard Crimson,Harvard,990000,dbdbdb
109,Mit,MIT,MIT Mit,MIT,000000,
110,,MM,Mass Meritime,Mass Meritime,000000,
111,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0
112,Tufts,TUFTS,Tufts Tufts,Tufts,000000,
113,Minutemen,MASS,UMass Minutemen,UMass,880007,
114,Falcons,FIT,Fitchburg State Coll Falcons,Fitchburg State Coll,000000,
116,Mountaineers,MSM,Mt. St. Mary's Mountaineers,Mt. St. Mary's,005596,ebebeb
117,Seahawks,SMMD,St. Mary's (MD) Seahawks,St. Mary's (MD),,
118,Blue Jays,JHU,Johns Hopkins Blue Jays,Johns Hopkins,000000,
119,Tigers,TOW,Towson Tigers,Towson,FFC229,
120,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00
121,Bobcats,BAT,Bates Bobcats,Bates,000000,
122,Huskies,USM,Southern Maine Huskies,Southern Maine,,
123,Saints,STAC,St. Thomas Aquinas Saints,St. Thomas Aquinas,000000,
124,Auggies,AUG,Augsburg Auggies,Augsburg,000000,
125,Lakers,GRV,Grand Valley St. Lakers,Grand Valley St.,000000,
126,Hornets,KAL,Kalamazoo Hornets,Kalamazoo,000000,
127,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff
128,Wildcats,NMI,Northern Michigan Wildcats,Northern Michigan,000000,
129,Cardinals,SVSU,Saginaw Valley Cardinals,Saginaw Valley,000000,
130,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c
131,Tartars,WNST,Wayne State (MI) Tartars,Wayne State (MI),000000,
132,Beavers,BST,Bemidji State Beavers,Bemidji State,000000,
133,Oles,STOL,St. Olaf Oles,St. Olaf,000000,
134,Bulldogs,MN-D,Minnesota Duluth Bulldogs,Minnesota Duluth,000000,
135,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,7F011B,7a0019
136,Vikings,MV,Missouri Valley Vikings,Missouri Valley,,
137,Griffons,MW,Missouri Western State Griffons,Missouri Western State,000000,
138,Bearcats,NWMS,NW Missouri State Bearcats,NW Missouri State,000000,
139,Billikens,SLU,Saint Louis Billikens,Saint Louis,00539C,ebebeb
140,Kangaroos,UMKC,UMKC Kangaroos,UMKC,005486,ffd90a
141,Rivermen,UMSL,Missouri-St. Louis Rivermen,Missouri-St. Louis,,
142,Tigers,MIZ,Missouri Tigers,Missouri,000000,000000
143,Bears,WUMO,Washington MO Bears,Washington MO,000000,
144,Ravens,FRA,Franklin Pierce Ravens,Franklin Pierce,000000,
145,Rebels,MISS,Ole Miss Rebels,Ole Miss,001148,00205b
146,,GRO,Grove City College,Grove City College,000000,
147,Bobcats,MTST,Montana State Bobcats,Montana State,003875,bf965c
148,Orediggers,MT,Montana Tech Orediggers,Montana Tech,000000,
149,Grizzlies,MONT,Montana Grizzlies,Montana,751D4A,666666
150,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3
151,Pirates,ECU,East Carolina Pirates,East Carolina,4b1869,f0907b
152,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20
153,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b
154,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,9E7E38,000000
155,Fighting Hawks,UND,North Dakota Fighting Hawks,North Dakota,00A26B,c2c3c0
156,Bluejays,CREI,Creighton Bluejays,Creighton,13299e,00235d
157,PrairieWolves,NEBW,Nebraska Wesleyan PrairieWolves,Nebraska Wesleyan,,
158,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,F20017,f5f1e7
159,Big Green,DART,Dartmouth Big Green,Dartmouth,005730,000000
160,Wildcats,UNH,New Hampshire Wildcats,New Hampshire,004990,c3c4c6
161,Knights,FDU,Fairleigh Dickinson Knights,Fairleigh Dickinson,00449C,a80532
162,Fighting Pipers,HAM,Hamline Fighting Pipers,Hamline,000000,
163,Tigers,PRIN,Princeton Tigers,Princeton,ff9408,080808
164,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff
166,Aggies,NMSU,New Mexico State Aggies,New Mexico State,891216,000000
167,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20
169,Bridges,BRK,Brooklyn College Bridges,Brooklyn College,,
170,Beavers,CUNY,City College (NY) Beavers,City College (NY),,
171,Lions,CLMB,Columbia Lions,Columbia,174785,004b85
172,Big Red,COR,Cornell Big Red,Cornell,d60027,101010
173,Hawks,HAR,Hartwick Hawks,Hartwick,000000,
174,Statesmen,HBRT,Hobart Statesmen,Hobart,000000,
175,Bombers,ITH,Ithaca College Bombers,Ithaca College,000000,
176,Violets,NYU,NYU Violets,NYU,,
177,Cardinals,PLAT,Plattsburgh State Cardinals,Plattsburgh State,,
178,Tigers,RIT,Rochester Institute Of Technology Tigers,Rochester Institute Of Technology,,
179,Bonnies,SBU,St. Bonaventure Bonnies,St. Bonaventure,70261D,
180,Bridges,BRK,CUNY-Brooklyn Bridges,CUNY-Brooklyn,,
181,Hawks,SNP,SUNY New Paltz Hawks,SUNY New Paltz,,
182,,SUN,SUNY Potsdam,SUNY Potsdam,000000,
183,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37
184,Yellow Jackets,ROC,Rochester Yellow Jackets,Rochester,000000,
185,Brewers,VAS,Vassar Brewers,Vassar,,
188,Yellow Jackets,B-W,Baldwin Wallace Yellow Jackets,Baldwin Wallace,000000,
189,Falcons,BGSU,Bowling Green Falcons,Bowling Green,2b1000,492000
190,Yellow Jackets,DEF,Defiance Yellow Jackets,Defiance,000000,
191,Student Princes,HEI,Heidelberg Student Princes,Heidelberg,000000,
193,RedHawks,M-OH,Miami (OH) RedHawks,Miami (OH),a4000c,f0f0f0
194,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,666666
195,Bobcats,OHIO,Ohio Bobcats,Ohio,295A29,e4bb85
196,RiverHawks,NEOS,Northeastern State RiverHawks,Northeastern State,000000,
197,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma State,FF6500,ff9900
198,Golden Eagles,ORU,Oral Roberts Golden Eagles,Oral Roberts,002955,ccb48c
199,Savage Storm,SEOS,SE Oklahoma State Savage Storm,SE Oklahoma State,000000,
200,Crimson Storm,SN,Southern Nazarene Crimson Storm,Southern Nazarene,000000,
201,Sooners,OKLA,Oklahoma Sooners,Oklahoma,7b0000,cccccc
202,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,004371,ee3b33
203,Wildcats,LNFD,Linfield College Wildcats,Linfield College,000000,
204,Beavers,ORST,Oregon State Beavers,Oregon State,c34500,dea076
205,Boxers,PACO,Pacific Oregon Boxers,Pacific Oregon,000000,
206,Hawks,HTR,Hunter College Hawks,Hunter College,,
208,The Mighty Macs,IMMAC,Immaculata College The Mighty Macs,Immaculata College,,
209,Bald Eagles,LH,Lock Haven Bald Eagles,Lock Haven,000000,
210,Marauders,MLR,Millersville Marauders,Millersville,000000,
212,Bloodhounds,JJ,John Jay College of Criminal Justice  Bloodhounds,John Jay College of Criminal Justice ,,
213,Nittany Lions,PSU,Penn State Nittany Lions,Penn State,00265D,002e5c
214,Pioneers,PP,Point Park Pioneers,Point Park,,
215,The Rock,SRU,Slippery Rock The Rock,Slippery Rock,000000,
216,Crusaders,SUSQ,Susquehanna University Crusaders,Susquehanna University,000000,
217,Garnet,SWAR,Swarthmore Garnet,Swarthmore,000000,
218,Owls,TEM,Temple Owls,Temple,A80532,a7a9ac
219,Quakers,PENN,Pennsylvania Quakers,Pennsylvania,082A74,a6163d
220,Panthers,PB,Pittsburgh-Bradford Panthers,Pittsburgh-Bradford,,
221,Panthers,PITT,Pittsburgh Panthers,Pittsburgh,003263,231f20
222,Wildcats,VILL,Villanova Wildcats,Villanova,123d7C,f0f0f0
223,Golden Rams,WC,West Chester Golden Rams,West Chester,000000,
224,Parson,WCV,Westminster (UT) Parson,Westminster (UT),,
225,Bears,BRWN,Brown Bears,Brown,411e09,949300
226,Anchormen,RIC,Rhode Island College Anchormen,Rhode Island College,,
227,Rams,URI,Rhode Island Rams,Rhode Island,3691C6,5ab3e8
228,Tigers,CLEM,Clemson Tigers,Clemson,F66733,522d80
229,Cobras,COK,Coker Cobras,Coker,000000,
230,Patriots,FRM,Francis Marion Patriots,Francis Marion,,
231,Paladins,FUR,Furman Paladins,Furman,4A2184,909090
232,Cougars,CHLS,Charleston Cougars,Charleston,9c8456,e4e2dd
233,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,f0f0f0
235,Tigers,MEM,Memphis Tigers,Memphis,002447,231f20
236,Mocs,CHAT,Chattanooga Mocs,Chattanooga,00386b,dca71d
237,Bulldogs,UUTN,Union (TN) Bulldogs,Union (TN),000000,
238,Commodores,VAN,Vanderbilt Commodores,Vanderbilt,000000,231f20
239,Bears,BAY,Baylor Bears,Baylor,004834,ffb81c
241,War Hawks,MMR,McMurry War Hawks,McMurry,000000,
242,Owls,RICE,Rice Owls,Rice,003D7D,d1d5d8
244,Hilltoppers,SEU,St. Edward's Hilltoppers,St. Edward's,000000,
245,Aggies,TA&M,Texas A&M Aggies,Texas A&M,5C0025,ffffff
246,Eagles,JUN,Juniata College Eagles,Juniata College,000000,
247,Monarchs,KING,King's College (PA) Monarchs,King's College (PA),000000,
248,Cougars,HOU,Houston Cougars,Houston,C90822,231f20
249,Mean Green,UNT,North Texas Mean Green,North Texas,00853D,000000
250,Mavericks,UTA,UT Arlington Mavericks,UT Arlington,004b7c,f58024
251,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0
252,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff
253,Thunderbirds,SUU,Southern Utah Thunderbirds,Southern Utah,d10000,c2c3c0
254,Utes,UTAH,Utah Utes,Utah,890012,7e8083
255,Knox,KNOX,Knox Knox,Knox,000000,
256,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778
257,Spiders,RICH,Richmond Spiders,Richmond,9e0712,b90b2e
258,Cavaliers,UVA,Virginia Cavaliers,Virginia,00204E,002d62
259,Hokies,VT,Virginia Tech Hokies,Virginia Tech,74232D,c2c1ba
260,Purple Knights,STMI,St. Michaels Purple Knights,St. Michaels,,
261,Catamounts,UVM,Vermont Catamounts,Vermont,013C24,ffc72c
262,Foresters,LAK,Lake Forest College Foresters,Lake Forest College,000000,
263,Loras,LORAS,Loras Loras,Loras,000000,
